num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,669.675850125,False
74,101.7941858,True
66,90.0986533637,True
1001,684.161905749,False
1001,862.836693025,False
106,-58.1900924412,True
1001,623.101578756,False
68,-101.998928654,True
1001,806.62306384,False
53,-108.948914216,True
80,291.608399798,True
49,-74.2541726359,True
1001,547.686543353,False
51,-35.6683658626,True
1001,585.245369763,False
1001,775.710371189,False
86,-13.3579183313,True
143,470.080683022,True
1001,688.622908608,False
88,-6.28804776192,True
59,-64.9053676837,True
67,-41.2196980841,True
89,-114.01852446,True
61,83.2822354153,True
1001,638.153393461,False
110,399.887143686,True
62,-103.578662436,True
1001,829.461841036,False
86,330.464442676,True
55,-113.259010366,True
57,18.7844528799,True
88,391.465591262,True
90,366.462771192,True
48,-101.640178849,True
1001,619.950601228,False
59,-93.7500758864,True
82,287.982430635,True
95,136.18902082,True
88,-64.5290397248,True
41,-110.306530198,True
83,-5.75818671605,True
94,122.804142498,True
1001,758.156348999,False
1001,632.359485953,False
1001,620.003592152,False
62,97.5704587064,True
1001,965.301046056,False
1001,560.882713931,False
88,-79.1526558444,True
49,-99.4293748975,True
89,-98.3489597467,True
63,-115.36628105,True
1001,734.837940412,False
66,-117.247273674,True
128,263.466290538,True
118,362.19793979,True
1001,882.072040718,False
1001,829.848832389,False
1001,495.131321058,False
60,8.26842841814,True
86,163.199937888,True
66,-111.896167842,True
70,-4.06105174324,True
56,-97.4036928739,True
76,-71.4169625017,True
104,-83.7581028012,True
1001,622.204318462,False
86,289.577670614,True
100,-71.3949576409,True
1001,772.659056688,False
1001,539.755541517,False
63,189.87410212,True
69,260.806574514,True
102,-21.2441374079,True
56,-32.0649060669,True
98,334.735785278,True
110,67.2844579266,True
97,-27.0580604891,True
56,-94.0874156679,True
97,-105.026946809,True
1001,629.56529986,False
107,-45.5386512624,True
133,234.308432445,True
1001,746.042952077,False
1001,602.983563238,False
1001,910.092494484,False
74,156.048400632,True
58,-72.7653740332,True
113,116.62932983,True
67,-6.02035599397,True
1001,568.977558574,False
66,101.825095526,True
1001,987.548787255,False
130,-10.7329143954,True
1001,1026.03316352,False
58,-103.938368124,True
1001,831.736032979,False
