num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,672.672653676,False
82,128.908315638,True
80,60.2155663637,True
1001,632.003913306,False
130,472.429035903,True
82,153.732950337,True
80,-67.361665807,True
1001,799.609364777,False
1001,927.590539054,False
1001,667.755464401,False
77,-41.1978059288,True
1001,689.935859511,False
64,-69.5053401765,True
65,104.117203154,True
96,347.494250505,True
47,-57.8776350025,True
64,8.52721481158,True
57,-31.4516394391,True
80,166.489863511,True
56,-115.163854615,True
1001,610.288296329,False
87,-77.8801657731,True
1001,852.11356949,False
1001,744.184439326,False
1001,646.634271293,False
96,357.986353349,True
1001,679.633557527,False
66,-51.2057456689,True
76,-115.665701575,True
77,188.446914568,True
1001,643.352965007,False
70,-119.772108,True
1001,909.034327766,False
1001,966.427335209,False
1001,468.083104573,False
86,221.543210793,True
1001,724.876891639,False
73,74.6252244611,True
66,-59.5351943463,True
66,-59.4049901943,True
1001,862.063388229,False
112,321.7496371,True
73,-63.4677030935,True
70,-112.966596345,True
135,-31.5631280774,True
1001,914.161224968,False
99,297.197944962,True
100,337.805220219,True
1001,710.348235159,False
65,129.607857552,True
1001,653.994324422,False
152,384.45939181,True
70,195.870894888,True
1001,786.739494144,False
64,47.1684800207,True
1001,734.857629182,False
1001,561.560862589,False
93,259.790511262,True
1001,590.458752657,False
1001,963.183118621,False
1001,668.49426696,False
79,368.642096528,True
98,12.2799697268,True
1001,506.018772108,False
58,-83.5492015099,True
102,119.538206663,True
75,180.424431699,True
1001,678.142620531,False
1001,777.819910442,False
58,10.3079701068,True
87,-7.04644897396,True
69,136.541737749,True
149,-109.197087357,True
128,-90.9528212711,True
1001,663.532925149,False
1001,786.880454755,False
56,-46.5074323716,True
66,-118.996262931,True
1001,532.818023667,False
1001,906.432752299,False
1001,881.684951066,False
109,-109.633102262,True
103,336.221234869,True
1001,937.388498788,False
67,122.148745191,True
101,-112.061120544,True
127,154.629663897,True
71,305.97700377,True
1001,840.053021907,False
82,347.555133186,True
1001,507.618891134,False
53,-116.270502376,True
81,233.147547992,True
89,-108.159820108,True
50,-96.3255931583,True
77,-106.554041878,True
60,-29.2555512175,True
76,-0.667097988296,True
